timestamp,time_delta,packet_size,direction,Type
1522954003.507035,12.0795,1412,0,4
1522868693.650025,8.69218,1412,0,1
1522940261.65677,6.66231,74,1,4
1522943073.228233,26.8003,1412,0,4
1522918702.410562,2.04855,1412,0,4
1522964039.258242,0.313871,1412,0,4
1522768773.057832,22.2265,94,0,1
1522888894.400689,11.909,1412,0,1
1522853102.147158,3.09056,1412,0,1
1522888894.764892,12.2732,122,1,1
1522865359.446981,12.4768,124,1,1
1522853104.062608,5.00601,116,1,1
1529634881.958981,1.55002,1412,0,2
1522886700.453445,11.65,1412,0,1
1522768764.46984,13.6385,1412,1,1
1522918702.37101,2.009,1412,0,4
1522763859.199598,14.1761,1412,1,1
1529644963.648824,0.88692,1412,0,2
1522861277.252689,8.5438,1412,0,1
1522964099.351104,60.4067,1412,0,4
1527993526.549076,30.8962,148,0,0
1522928731.699353,26.2577,1294,0,4
1522763853.353633,8.33015,94,0,1
1527851052.596607,91.0328,148,0,0
1522763864.99618,19.9727,1412,1,1
1522853102.134838,3.07824,1412,0,1
1522940304.100879,49.1064,74,1,4
1522956025.985226,6.2848,1412,0,4
1522853102.766524,3.70993,1412,0,1
1527791943.881935,22.41,100,1,0
1522928729.262022,23.8204,74,1,4
1522953992.624205,1.19668,1412,0,4
1522886702.896822,14.0934,1412,0,1
1529634880.910473,0.50151,622,1,2
1522940303.526188,48.5317,1294,0,4
1522964042.982381,4.03801,1412,0,4
1529515408.564043,1.08328,1412,0,2
1522922692.324778,48.9392,1392,0,4
1522842699.147768,15.3567,1412,0,1
1522940280.556422,25.562,1294,0,4
1522964051.295883,12.3515,1412,0,4
1522715510.078442,6.06278,74,0,3
1522888894.008248,11.5165,1412,0,1
1522922683.066807,39.6813,1392,0,4
1522954026.771371,35.3438,1412,0,4
1529541636.112939,0.595229,1412,0,2
1528083087.209549,30.1344,107,1,0
1522853105.063421,6.00683,1412,0,1
1522853103.476371,4.41978,1412,0,1
1527993556.182916,60.53,222,1,0
1522842710.275769,26.4847,1412,0,1
1522940255.119086,0.124623,1294,0,4
1527924754.342495,103.808,270,1,0
1529634882.026644,1.61768,1412,0,2
1529478747.65001,1.0264,1412,0,2
1522943078.546515,32.1186,126,1,4
1522861278.3346,9.62572,1412,0,1
1522917966.412916,0.097255,1412,0,4
1522763862.472353,17.4489,1412,1,1
1529541636.532647,1.01494,1412,0,2
1529644963.722699,0.960795,1412,0,2
1529644964.122881,1.36098,125,1,2
1522886713.427724,24.6243,1412,0,1
1522964063.961601,25.0172,1412,0,4
1522943107.217904,60.79,1412,0,4
1522861277.771452,9.06257,1412,0,1
1522943101.623189,55.1953,1412,0,4
1522861278.20985,9.50097,1412,0,1
1529626612.907058,0.919727,1412,0,2
1529626612.684983,0.697652,1412,0,2
1522940255.982054,0.987591,1294,0,4
1522842690.718135,6.92706,1412,0,1
1522842691.145714,7.35464,1412,0,1
1522928705.560429,0.118812,74,1,4
1522981606.703366,48.8386,1412,0,4
1522943047.067097,0.639208,1412,0,4
1529564285.534594,0.462757,1412,0,2
1522956038.669361,18.9689,1412,0,4
1522865359.16886,12.1987,1412,0,1
1522964039.254621,0.31025,1412,0,4
1529554551.920951,0.371023,1412,0,2
1529634882.055511,1.64655,1412,0,2
1522886701.760562,12.9571,1412,0,1
1529626612.719443,0.732112,1412,0,2
1522886709.164187,20.3608,1412,0,1
1529513492.087974,1.2199,105,1,2
1522940255.946054,0.951591,1294,0,4
1522940313.820252,58.8258,1294,0,4
1522918753.269269,52.9073,354,1,4
1522768769.866429,19.0351,1412,1,1
1522861277.75661,9.04772,1412,0,1
1529513491.009111,0.141035,1392,0,2
1522739791.555947,6.3833,1294,0,3
1522922692.343367,48.9578,1392,0,4
1522940288.991827,33.9974,1294,0,4
1527741833.606022,115.704,87,0,0
1522886703.823259,15.0198,101,1,1
1522956047.094864,27.3944,1412,0,4
1522943052.304368,5.87648,1412,0,4
